dist,trial,policy,spearman_vs_true,spearman_vs_empirical
1-6-14,13,labelfree_full|mlp8|seed2,0.821663832923619,0.8167275867583448
1-6-14,15,empirical_gittins,0.9540472134728021,1.0
1-6-14,15,fcfs,,
1-6-14,15,mean_excess,0.7744134543349279,0.6946744704207317
1-6-14,15,imitation_tail_only,0.6696201064594235,0.6178005391752863
1-6-14,15,imitation_no_hazard,0.9771708999117172,0.9360837571175791
1-6-14,15,imitation_full,0.950380718339675,0.9917597808684926
1-6-14,15,labelfree_tail_only|linear|seed0,0.7711280086832382,0.6922595837117539
1-6-14,15,labelfree_tail_only|linear|seed1,0.7711255824109045,0.6922570940292581
1-6-14,15,labelfree_tail_only|linear|seed2,0.7711280086832382,0.6922595837117539
1-6-14,15,labelfree_no_hazard|linear|seed0,0.925217000274162,0.8600770211480915
1-6-14,15,labelfree_no_hazard|linear|seed1,0.9490872281715195,0.8840707821973247
1-6-14,15,labelfree_no_hazard|linear|seed2,0.9118452961502838,0.8450929254509639
1-6-14,15,labelfree_full|linear|seed0,0.9497192604336125,0.8993481765094413
