gen,best,pop_mean,sigma,seed,val,val_ratio
148,27.70352564948242,29.188792901364543,1.4721579422627913,0,,
149,26.10016068110678,26.715288918629028,1.4269447234576564,0,,
150,27.671926052638554,27.820649105523106,1.4153852419509196,0,27.18742769941214,1.0067905574592908
1,29.317308581177777,37.13123973035671,0.9382126666652335,1,28.90869988615418,1.070531805935941
2,27.143373530109045,37.733799883913676,0.8923410159562769,1,,
3,25.68768112977459,33.93812554631778,0.8745945767302389,1,,
4,25.95685179236627,28.923463053812135,0.8668724277344279,1,,
5,26.040491038556006,31.83473156281663,0.8588301055874762,1,27.410107076274922,1.0150367033045344
6,27.784917457450405,28.940521307414194,0.8754262342466891,1,,
7,27.990154889150347,29.348954788911115,0.895958206883065,1,,
8,26.490167091660577,28.255382870573953,0.9387702125563101,1,,
9,27.402576280863048,31.048090780599587,0.970311196430779,1,,
10,26.541716438979805,30.261555312947678,1.0002665953052003,1,27.305735894522037,1.011171684464891
11,27.65271919338697,29.64263105608332,1.0334190496027784,1,,
12,27.154422088728246,29.27544859192443,1.0795570052614525,1,,
13,26.72507179074534,28.4398936465536,1.1460251648219417,1,,
14,26.345422069493914,27.37831576067964,1.2297666341873568,1,,
15,27.72341048213573,29.33662831215784,1.310929789212616,1,27.268259282327307,1.009783870225884
16,25.53691113064932,26.637602370291024,1.352191454720704,1,,
17,27.152915762792592,28.445915760645068,1.364947586012829,1,,
18,26.495645077480635,27.438036778660404,1.3705487628221504,1,,
19,27.06342781248693,27.547732943646338,1.3546358234488736,1,,
20,25.851420314115728,26.006986917807115,1.3400926177900172,1,27.234620586212447,1.0085381796814117
21,27.98297734257507,28.8656994432389,1.3575798961776138,1,,
22,26.966781576706566,27.50896485902939,1.4049603881726864,1,,
23,26.845211556747635,28.123368135596436,1.444134651884409,1,,
24,27.790102893349836,28.87733767333563,1.5169562491103548,1,,
25,27.037310775603157,28.475343683754105,1.5667932523850523,1,27.22715753342597,1.0082618118264488
26,27.594423228368967,28.005491706980685,1.6216532145907328,1,,
27,27.509191407601737,28.445660169453706,1.6953842851462173,1,,
28,27.057009443560737,27.274925345178076,1.7709273084770896,1,,
29,27.21188745753985,28.025624174630654,1.8746288545413627,1,,
30,28.156599183487735,28.94480567453838,1.9767133145039708,1,27.20834980431296,1.0075653338702557
31,26.131838607870684,27.4989748196984,2.0444395482447972,1,,
32,29.158295946747888,30.400623805105738,2.0530084068873,1,,
33,25.93094479723019,26.51726666413708,2.054102544365508,1,,
34,26.871716054704656,28.01657322578003,2.033958039760573,1,,
35,28.37033739792011,29.755750446835734,2.0536769360493223,1,27.216630884923028,1.0078719945023669
36,27.387752437607467,28.316319714203765,2.0703428156326313,1,,
37,27.424778308212783,27.708019257579014,2.049883902402753,1,,
38,26.241904662263835,27.336973797297794,1.994081409390071,1,,
39,27.843101711049634,29.31779233806433,1.9666595056948417,1,,
40,26.55322525087121,26.648831024171827,1.8838345795453673,1,27.217791373152533,1.0079149690935796
41,27.009891461863262,27.357968580646784,1.80106228812216,1,,
42,26.7623256220107,27.422637080880456,1.7108348667153797,1,,
43,24.816765068033938,24.90073947352836,1.642315908843392,1,,
44,26.155424306451337,27.21276234033487,1.5948317024324412,1,,
45,27.548716396629338,28.383368292698737,1.5663705873436509,1,27.20384659995014,1.0073985735691002
46,27.653857615901487,28.4751376959504,1.5610571268432432,1,,
47,25.57107515423611,26.405964677769113,1.5392501935977783,1,,
48,26.83896285490705,27.747758380983413,1.5518376216591387,1,,
49,27.342354833377033,27.757775980099368,1.541750598364626,1,,
50,26.95341251177159,28.608771406175727,1.5046999389532845,1,27.195291090060046,1.0070817504158829
51,24.784356749592725,25.75493963917455,1.479584623730175,1,,
52,26.60468094225878,28.124737829685444,1.471297903994172,1,,
53,26.38155973456631,28.00952963229487,1.4748354074697232,1,,
