dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,10,91,13.98,1733.7464700822652,1733.7464700822652,241.25483794655955,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,0,14.86,334.6562616710733,429.18471391032773,247.89943816415857,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,1,15.02,367.41208049690346,367.41208049690346,258.52040082963487,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,2,14.83,491.5752641807002,511.54383187262096,264.7535802366464,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,3,15.15,253.98055274415668,289.07507961439075,241.5814062526718,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,4,14.790000000000001,387.7953792912801,636.9825714828719,272.73283486485354,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,5,14.780000000000001,517.6103426069698,517.6103426069698,253.00891850110108,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,6,15.01,350.0172105796107,400.0656051158403,278.51312202017806,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,7,14.99,316.58537143061267,343.8444283259621,236.10957768667305,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,8,14.74,271.50645788806435,497.3275800662,234.4825405399294,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,9,14.530000000000001,603.9286102349874,752.2933006943139,237.18682216215436,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,10,15.19,253.42622739730348,281.62315194555464,244.1974092853441,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,11,14.870000000000001,349.6608976793259,476.80191035391175,272.41034996570824,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,96,14.76,492.65855571053413,492.65855571053413,229.11142579898384,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,97,14.700000000000001,654.036273745776,654.036273745776,266.6790846119473,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,98,13.780000000000001,2031.7576424663969,2031.7576424663969,261.2720064007114,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,99,14.07,1660.6462810627788,1660.6462810627788,252.52693116522315,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,100,12,15.43,251.82553412596988,258.3151097897228,248.8482921151196,246.59908642224494,279.7048335461678,352.8057550150208
