dist,rho,n,trial,ell,empirical,truncated,true_gittins,fcfs,plcfs,true_paired
1-6-14,0.8,100,64,14.22,26.057480802316313,37.44730686920398,27.02858317223873,29.31315334077942,35.28057550150213,25.111746674499603
1-6-14,0.8,100,65,14.43,29.21404471301504,37.48916297714491,27.02858317223873,29.31315334077942,35.28057550150213,27.676343185353595
1-6-14,0.8,100,66,14.38,26.2861443585332,35.43261623929852,27.02858317223873,29.31315334077942,35.28057550150213,25.860847826537597
1-6-14,0.8,100,67,14.37,26.93674774265183,36.57404290532755,27.02858317223873,29.31315334077942,35.28057550150213,26.80959755305554
1-6-14,0.8,100,68,14.48,29.783197091024697,35.7608184473543,27.02858317223873,29.31315334077942,35.28057550150213,27.774996125340273
1-6-14,0.8,100,69,14.68,25.301796221547168,28.779888685447965,27.02858317223873,29.31315334077942,35.28057550150213,25.165199117806168
1-6-14,0.8,100,70,14.24,26.445145889145017,37.3425362905738,27.02858317223873,29.31315334077942,35.28057550150213,25.355703486802483
1-6-14,0.8,100,71,14.52,28.26572964914024,34.593535632640894,27.02858317223873,29.31315334077942,35.28057550150213,27.570132193618925
1-6-14,0.8,100,72,14.26,27.861494643323752,37.9269534280718,27.02858317223873,29.31315334077942,35.28057550150213,25.862950895459385
1-6-14,0.8,100,73,14.34,30.38436527866272,39.67438607998201,27.02858317223873,29.31315334077942,35.28057550150213,27.944681983433902
1-6-14,0.8,100,74,14.47,28.968477395672338,35.63127511591963,27.02858317223873,29.31315334077942,35.28057550150213,27.781897217928904
1-6-14,0.8,100,75,14.31,28.361399907303692,40.43310745046541,27.02858317223873,29.31315334077942,35.28057550150213,27.159591943146268
1-6-14,0.8,100,76,14.4,27.480528340651816,36.42305523103573,27.02858317223873,29.31315334077942,35.28057550150213,26.56039721226282
1-6-14,0.8,100,77,14.28,27.38825256392454,39.224829501497695,27.02858317223873,29.31315334077942,35.28057550150213,26.747662414949115
1-6-14,0.8,100,78,14.24,28.367856733637566,42.157135858077005,27.02858317223873,29.31315334077942,35.28057550150213,26.90453880953792
1-6-14,0.8,100,79,14.44,27.91043803743045,34.780700455235205,27.02858317223873,29.31315334077942,35.28057550150213,26.69908507840162
1-6-14,0.8,100,80,14.45,30.798132319421516,37.08937396840368,27.02858317223873,29.31315334077942,35.28057550150213,27.494625874400693
1-6-14,0.8,100,81,14.33,28.366277223452844,37.17771313194676,27.02858317223873,29.31315334077942,35.28057550150213,26.31376923529297
1-6-14,0.8,100,82,14.34,27.50850501091086,38.86091348096662,27.02858317223873,29.31315334077942,35.28057550150213,27.36356380829225
1-6-14,0.8,100,83,14.58,29.363688322449544,33.77282557657782,27.02858317223873,29.31315334077942,35.28057550150213,27.879074121569637
1-6-14,0.8,100,84,14.38,26.38328127256597,34.42255936784336,27.02858317223873,29.31315334077942,35.28057550150213,25.56280818667602
1-6-14,0.8,100,85,14.31,28.406405962458592,36.53606367316893,27.02858317223873,29.31315334077942,35.28057550150213,25.832468613258087
1-6-14,0.8,100,86,14.53,27.978732306492496,34.469779489179174,27.02858317223873,29.31315334077942,35.28057550150213,27.514984792357183
1-6-14,0.8,100,87,14.2,28.851663970231357,39.93444042226177,27.02858317223873,29.31315334077942,35.28057550150213,26.22295057434072
