gen,best,pop_mean,sigma,seed,val,tier,arch
38,0.8244865188440247,0.8244910410326466,2.7343077970191776,1,,tail_only,linear
39,0.8132313742376249,0.813235657808197,2.339108089961701,1,,tail_only,linear
40,0.8121918814326079,0.8121947419795273,2.3159007105967873,1,0.8133884976978715,tail_only,linear
41,0.819293449446254,0.8192936413636065,2.5027510147929073,1,,tail_only,linear
42,0.81425426491887,0.8142559356084345,2.672102905920593,1,,tail_only,linear
43,0.8298670092721392,0.8298677649413205,3.1073724301957864,1,,tail_only,linear
44,0.8178186309127217,0.8178220990343079,2.657562123205363,1,,tail_only,linear
45,0.8071284780057282,0.8071291840399395,2.9512388194096935,1,,tail_only,linear
46,0.813478989814307,0.8134796503323716,2.595288453934221,1,,tail_only,linear
47,0.8165540546241128,0.8165551475186357,2.457508146678914,1,,tail_only,linear
48,0.8216386152701589,0.8216412889856451,3.4629405964281728,1,,tail_only,linear
49,0.8238137856136865,0.8238138422070782,2.9271102961955315,1,,tail_only,linear
50,0.8157363385653763,0.8157399076725637,3.559309750106715,1,0.8133884895443143,tail_only,linear
51,0.8218840610924218,0.8218851554584896,3.434247899181653,1,,tail_only,linear
52,0.816097127485714,0.8160981407145614,3.120833732655172,1,,tail_only,linear
53,0.8185252563096965,0.8185255650639979,3.3411934994394255,1,,tail_only,linear
54,0.8170561294757804,0.8170591061609607,3.1051926006767063,1,,tail_only,linear
55,0.8217157000223787,0.8217161381701946,3.0412573309154154,1,,tail_only,linear
56,0.8193072922875787,0.8193101805877062,2.9756087558397533,1,,tail_only,linear
57,0.8150595424793798,0.8150595880436109,2.5468171065930685,1,,tail_only,linear
58,0.8071175685738443,0.8071205403094991,2.3792760796952592,1,,tail_only,linear
59,0.8317279570726435,0.8317279570726435,2.795103107308526,1,,tail_only,linear
60,0.811056456285183,0.8110564769780724,2.6495402322845747,1,0.813388568898305,tail_only,linear
61,0.8156794262283641,0.8156798683095937,2.7042180620177096,1,,tail_only,linear
62,0.8104122149113424,0.810414656656014,2.527476433051884,1,,tail_only,linear
63,0.8167157194621273,0.8167163495634046,2.665151583517821,1,,tail_only,linear
64,0.812891370468467,0.8128922330542057,2.3299033972079912,1,,tail_only,linear
65,0.8204635687775096,0.8204638415391066,2.1240455912737546,1,,tail_only,linear
66,0.8197528261216585,0.8197528261216585,1.756030605783711,1,,tail_only,linear
67,0.803985162124672,0.8039854228763185,1.9309372868988424,1,,tail_only,linear
68,0.8144461940335612,0.8144478038470779,2.4020304932594585,1,,tail_only,linear
69,0.8099272128109307,0.8099272139522629,2.6467675702895193,1,,tail_only,linear
70,0.813089517701783,0.813089517701783,2.1047399324275693,1,0.8133885684390975,tail_only,linear
71,0.8204001291971676,0.8204001303266419,2.0582317261355256,1,,tail_only,linear
72,0.818289371613028,0.818290526067283,1.7545975753883574,1,,tail_only,linear
73,0.8136775728581545,0.8136777687285043,1.5537447210594295,1,,tail_only,linear
74,0.8163222549987619,0.8163222558549752,1.7661183482860563,1,,tail_only,linear
75,0.8167522987329695,0.8167522987329695,1.6022725936233164,1,,tail_only,linear
76,0.8234462091512746,0.8234462112964973,1.9476249959343337,1,,tail_only,linear
77,0.8216059734631616,0.8216061024884238,1.6817503343143918,1,,tail_only,linear
78,0.8146528780770781,0.8146535560180013,1.6108304832053808,1,,tail_only,linear
79,0.8131903164279954,0.8131903924564219,2.2039985383946044,1,,tail_only,linear
80,0.8220142022500609,0.8220156802255756,1.8712560890786023,1,0.8133885684390975,tail_only,linear
81,0.8117768849088931,0.8117772361239428,2.0292821209502305,1,,tail_only,linear
82,0.8177598988293819,0.8177600578421707,2.0418976439853505,1,,tail_only,linear
83,0.8195614025562548,0.8195619792082706,2.1998978039047774,1,,tail_only,linear
84,0.8151341779924093,0.8151347308075774,2.38821465801848,1,,tail_only,linear
85,0.8169286170493091,0.8169286191619787,1.9035733269530917,1,,tail_only,linear
86,0.8294947590707793,0.8294951085462348,1.7304342252708311,1,,tail_only,linear
87,0.8078816853450674,0.8078816857355702,1.7061711715988648,1,,tail_only,linear
88,0.8183906178980547,0.8183906215011787,1.788148116705241,1,,tail_only,linear
89,0.8093179217054389,0.8093179217054389,1.8534504441799584,1,,tail_only,linear
90,0.8147539958416734,0.8147539958416734,1.697221982712266,1,0.8133885684390975,tail_only,linear
91,0.8235618874120931,0.8235618874120931,1.6249221389584372,1,,tail_only,linear
92,0.8227455605612032,0.8227455605612032,1.634331382989502,1,,tail_only,linear
93,0.8219654592200463,0.8219654592200463,1.8579379948399743,1,,tail_only,linear
94,0.81756028206641,0.81756028206641,1.7603922562348449,1,,tail_only,linear
95,0.8150765734723684,0.8150765738635992,1.6530804642877697,1,,tail_only,linear
96,0.8182142198639903,0.8182142198639903,1.4013123563560912,1,,tail_only,linear
97,0.8149547342892642,0.8149547342892642,1.2501339820956692,1,,tail_only,linear
98,0.8193484709881936,0.8193484709881936,1.4602387942905306,1,,tail_only,linear
99,0.8153980778847061,0.8153980778847061,1.6939823682745456,1,,tail_only,linear
100,0.8294745545171636,0.8294745548392728,1.975466319270646,1,0.8133885684390975,tail_only,linear
101,0.8247670492396681,0.8247670513119102,2.3744840156941773,1,,tail_only,linear
102,0.8065601425335386,0.8065601425335386,2.2570580877920605,1,,tail_only,linear
103,0.8114039961218731,0.8114039961218731,2.3447536164269764,1,,tail_only,linear
